Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note.1,Amount,Currency,Account.1
2022-01-26,CUB - online payment,Groceries,,Snacks,115.0,Expense,,2.3,USD,115.0
2022-01-27,CUB - online payment,Groceries,,Zinger box meal,279.0,Expense,,5.58,USD,279.0
2022-01-27,CUB - online payment,General,,To vishnu,100.0,Expense,,2.0,USD,100.0
2022-01-27,CUB - online payment,General,,To vicky,300.0,Expense,,6.0,USD,300.0
2022-01-27,CUB - online payment,General,,Rapido to pg,43.0,Expense,,0.86,USD,43.0
2022-01-28,CUB - online payment,Groceries,,Lunch with company,138.0,Expense,,2.76,USD,138.0
2022-01-28,CUB - online payment,Groceries,,Banana,10.0,Expense,,0.2,USD,10.0
2022-01-29,CUB - online payment,General,,Sent to barath,100.0,Expense,,2.0,USD,100.0
2022-01-29,CUB - online payment,General,,Rapido to pg,44.0,Expense,,0.88,USD,44.0
2022-01-30,CUB - online payment,Groceries,,Dinner,155.0,Expense,,3.1,USD,155.0
2022-01-30,CUB - online payment,Groceries,,Brunch,105.0,Expense,,2.1,USD,105.0
2022-01-30,CUB - online payment,Groceries,,Cycle gap ,120.0,Expense,,2.4,USD,120.0
2022-01-31,CUB - online payment,General,,To vicky,200.0,Expense,,4.0,USD,200.0
2022-01-31,CUB - online payment,General,,Vnr to apk,50.0,Expense,,1.0,USD,50.0
2022-01-31,CUB - online payment,General,,To ksr station,153.0,Expense,,3.06,USD,153.0
2022-02-02,CUB - online payment,Groceries,,Parotta,120.0,Expense,,2.4,USD,120.0
2022-02-03,CUB - online payment,General,,To gowdham,150.0,Expense,,3.0,USD,150.0
2022-02-03,CUB - online payment,Groceries,,Good soup,50.0,Expense,,1.0,USD,50.0
2022-02-04,CUB - online payment,Groceries,,Shawarma,80.0,Expense,,1.6,USD,80.0
2022-02-06,CUB - online payment,General,,To gobi,1500.0,Expense,,30.0,USD,1500.0
2022-02-06,CUB - online payment,General,,To chennai,1000.0,Expense,,20.0,USD,1000.0
2022-02-06,CUB - online payment,Groceries,,To kumara,150.0,Expense,,3.0,USD,150.0
2022-02-06,CUB - online payment,Groceries,,Cakepark,125.0,Expense,,2.5,USD,125.0
2022-02-07,CUB - online payment,General,,Auto to Gobi's place,214.0,Expense,,4.28,USD,214.0
2022-02-08,CUB - online payment,Household supplies,,Bean bag,2099.0,Expense,,41.98,USD,2099.0
2022-02-10,CUB - online payment,Groceries,,Kfc dinner,641.0,Expense,,12.82,USD,641.0
2022-02-11,CUB - online payment,Groceries,,Dinner with aravind,373.0,Expense,,7.46,USD,373.0
2022-02-12,CUB - online payment,Groceries,,Lunch,80.0,Expense,,1.6,USD,80.0
2022-02-12,CUB - online payment,Household supplies,,Mirror,70.0,Expense,,1.4,USD,70.0
2022-02-12,CUB - online payment,Groceries,,Dinner with aravind and buddies,491.0,Expense,,9.82,USD,491.0
2022-02-13,CUB - online payment,Dining out,,Games ,100.0,Expense,,2.0,USD,100.0
2022-02-16,CUB - online payment,Groceries,,Kfc ,475.0,Expense,,9.5,USD,475.0
2022-02-16,CUB - online payment,Groceries,,Side dishes,165.0,Expense,,3.3,USD,165.0
2022-02-17,CUB - online payment,Groceries,,Lunch,80.0,Expense,,1.6,USD,80.0
2022-02-18,CUB - online payment,Groceries,,Kfc dinner,348.0,Expense,,6.96,USD,348.0
2022-02-19,CUB - online payment,Groceries,,Random stuff for drinks,111.0,Expense,,2.22,USD,111.0
2022-02-19,CUB - online payment,Groceries,,Snacks,250.0,Expense,,5.0,USD,250.0
2022-02-19,CUB - online payment,General,,Bus ticket,1575.0,Expense,,31.5,USD,1575.0
2022-02-19,CUB - online payment,General,,Took from sbi,200.0,Expense,,4.0,USD,200.0
2022-02-19,CUB - online payment,General,,Metro,60.0,Expense,,1.2,USD,60.0
2022-02-19,CUB - online payment,General,,To auto anna,50.0,Expense,,1.0,USD,50.0
2022-02-19,CUB - online payment,General,,To egmore,270.0,Expense,,5.4,USD,270.0
2022-02-19,CUB - online payment,Groceries,,Ramen with gobi,380.0,Expense,,7.6,USD,380.0
2022-02-20,CUB - online payment,Groceries,,Lunch,200.0,Expense,,4.0,USD,200.0
2022-02-21,CUB - online payment,General,,Train cbe to chn,201.8,Expense,,4.0360000000000005,USD,201.8
2022-02-21,CUB - online payment,Household supplies,,Stuffs,336.0,Expense,,6.72,USD,336.0
2022-02-21,CUB - online payment,General,,Travel to koyambedu,138.0,Expense,,2.76,USD,138.0
2022-02-21,CUB - online payment,General,,It better be worth it,1300.0,Expense,,26.0,USD,1300.0
2022-02-22,CUB - online payment,General,,Auto to laxmi mills,120.0,Expense,,2.4,USD,120.0
2022-02-23,CUB - online payment,Payment,,Earphone,399.0,Expense,,7.98,USD,399.0
2022-02-23,CUB - online payment,Groceries,,Eggs,83.0,Expense,,1.66,USD,83.0
2022-02-23,CUB - online payment,Payment,,Hoodie for gobi,399.0,Expense,,7.98,USD,399.0
2022-02-24,CUB - online payment,Household supplies,,,303.0,Expense,,6.06,USD,303.0
2022-02-24,CUB - online payment,Groceries,,Tamen,324.7,Expense,,6.494,USD,324.7
2022-02-24,CUB - online payment,Groceries,,Creamstone,289.0,Expense,,5.78,USD,289.0
2022-02-25,CUB - online payment,Groceries,,,33.0,Expense,,0.66,USD,33.0
2022-02-26,CUB - online payment,Groceries,,Tea lights,84.0,Expense,,1.68,USD,84.0
2022-02-26,CUB - online payment,Groceries,,Snacks,40.0,Expense,,0.8,USD,40.0
2022-02-26,CUB - online payment,Dining out,,,1700.0,Expense,,34.0,USD,1700.0
2022-02-26,CUB - online payment,General,,To karthi,100.0,Expense,,2.0,USD,100.0
2022-02-26,CUB - online payment,Groceries,,,25.0,Expense,,0.5,USD,25.0
2022-02-27,CUB - online payment,Groceries,,Lunch,243.0,Expense,,4.86,USD,243.0
2022-02-28,CUB - online payment,Groceries,,Pizza,339.15,Expense,,6.7829999999999995,USD,339.15
2022-03-01,CUB - online payment,Groceries,,Snacks,67.0,Expense,,1.34,USD,67.0
2022-03-01,CUB - online payment,General,,Metro,30.0,Expense,,0.6,USD,30.0
2022-03-01,CUB - online payment,Groceries,,Dinner,78.0,Expense,,1.56,USD,78.0
2022-03-02,CUB - online payment,General,,To lended people,300.0,Expense,,6.0,USD,300.0
2022-03-02,CUB - online payment,Groceries,,Brownie,50.0,Expense,,1.0,USD,50.0
